公司名,地址,固定电话,主营产品,客户,手机号,公司网站,公司简介,电子邮箱,经营模式,企业类型,城市,公司规模,注册资本,来源网站,记录时间,_url,
佛山市三木机电起重设备有限公司,佛山 佛山市禅城区市东下路23号首层一铺位,13827751017,"丙纶丝 , 工业吊装带 ,  电动葫芦类  ,  起重吊带类  ,  手拉葫芦类  ,  电器类 ",李文秀,13827755840,,,214519155@qq.com,生产加工,,,,http://www.hong-tu.c,"法人名称：佛山市三木机电起重设备有限公司主要经营产品：丙纶丝 , 工业吊装带 ,  电动葫芦类  ,  起重吊带类  ,  手拉葫芦类  ,  电器类 经营范围：经销：电动工具，起重机械设备，五金工具，电机产品，轴承，照明电器。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓营业执照号码：440602000072077发证机关：佛山市禅城区工商行政管理局核准日期：2016-10-11经营状态：存续经营模式：生产加工成立时间：2002年10月14日职员人数：8人注册资本：80万人民币元 (万元)公司官网：http://www.hong-tu.c所属分类：其他行业专用设备公司所属城市：佛山企业网 禅城区 类型：有限责任公司(自然人投资或控股)顺企编码：3157422",,https://www.11467.com/foshan/co/7075.htm,
泽星晨起重设备有限公司,佛山 城北综合批发市场c区6路11、12号,457-0757-8610058 075786108057,"手拉葫芦 , 电动葫芦及配件 , 手扳葫芦 , 吊装带 , 钢丝绳 , 室外吊运机 , 永磁吸盘 , 搬运小坦克 , 起重滑车 , 起重链条 , 钢板吊钳 , 千斤顶 , 捆绑带 , 多功能紧线器 , 锁具吊钩 , 无线遥控 , 手动跑车 , 提升机 , 安全带 , 花兰卡头等 ",王星辰,18922243334,,,528000,佛山企业网,,,,,"法人名称：泽星晨起重设备有限公司主要经营产品：手拉葫芦 , 电动葫芦及配件 , 手扳葫芦 , 吊装带 , 钢丝绳 , 室外吊运机 , 永磁吸盘 , 搬运小坦克 , 起重滑车 , 起重链条 , 钢板吊钳 , 千斤顶 , 捆绑带 , 多功能紧线器 , 锁具吊钩 , 无线遥控 , 手动跑车 , 提升机 , 安全带 , 花兰卡头等 经营状态：在业成立时间：2013年07月25日职员人数：80人注册资本：人民币50 万元 (万元)所属分类：千斤顶公司所属城市：佛山企业网顺企编码：3143580",,https://www.11467.com/foshan/co/342758.htm,
广州工友起重设备索具有限公司,中国 广东 佛山市南海区 广东省佛山市南海区广佛路广佛五金城31座1-3号工友起重,86-0757-81127188-605,"起重设备 ,  如:手拉葫芦  , 手板葫芦 , 电动葫芦 , 等  , 吊装带 , 捆绑带 , 钢丝绳 ,  卸扣  ,  卡头 ",未提供,13632426436,,,528248,,,,,,"法人名称：广州工友起重设备索具有限公司主要经营产品：起重设备 ,  如:手拉葫芦  , 手板葫芦 , 电动葫芦 , 等  , 吊装带 , 捆绑带 , 钢丝绳 ,  卸扣  ,  卡头 经营状态：在业所属分类：起重装卸设备公司所属城市：佛山企业网顺企编码：3081767",,https://www.11467.com/foshan/co/219041.htm,
浙江嘉益机械有限公司,东莞 平阳县鳌江镇垂杨机电工业园区,0577-63686888,"高速无梭织带机  , 电脑提花机 , 吊装带织带机 , 钩编机 , 经胶机 , 高速编织机 , 织带机配件 ",王建表 ,13926817587,,,jiayi@china-jiayi.com.cn,2005年1月11日,,,,有限责任公司(自然人投资或控股),"法人名称：浙江嘉益机械有限公司主要经营产品：高速无梭织带机  , 电脑提花机 , 吊装带织带机 , 钩编机 , 经胶机 , 高速编织机 , 织带机配件 经营范围：纺织机械、机床制造、销售；柴油机、发电机组加工、销售；经营进出口业务。营业执照号码：330326000031625发证机关：平阳县市场监督管理局核准日期：2015-11-17经营状态：存续成立时间：2005年01月11日注册资本：人民币1050万 (万元)所属分类：纺织设备和器材公司所属城市：东莞企业网类型：有限责任公司(自然人投资或控股)顺企编码：2705835",,https://www.11467.com/dongguan/co/137933.htm,
吊装带 永磁起重器 电动葫芦 成都虎跃公司,成都 成都市金牛区洞子口沙河源上金府,86-028-83131290 4000281998,"吊装带 ,  吊带  , 圆形吊装带 , 扁平吊装带 , 柔性吊装带 ,  合成纤维吊装带  , 白色吊装带 , 吊装带批发 , 吊装带价格 , 吊装带厂家 , 吊装带厂家批发 , 吊装带厂家价格 ",张新跃,18702890692,,,610036,成都企业网 金牛区 金牛区沙河源,,,,,"法人名称：吊装带 永磁起重器 电动葫芦 成都虎跃公司主要经营产品：吊装带 ,  吊带  , 圆形吊装带 , 扁平吊装带 , 柔性吊装带 ,  合成纤维吊装带  , 白色吊装带 , 吊装带批发 , 吊装带价格 , 吊装带厂家 , 吊装带厂家批发 , 吊装带厂家价格 经营状态：在业成立时间：2008年07月21日职员人数：20人注册资本：人民币50 万元 (万元)所属分类：起重装卸设备公司所属城市：成都企业网 金牛区 金牛区沙河源顺企编码：1646193",,https://www.11467.com/chengdu/co/212686.htm,
钢丝绳电动葫芦广佳有限公司,长春 长春市亚泰大街12345号,86-0431-84691008 043184691008,"手拉葫芦 , 电动葫芦 , 卷扬机 , 千斤顶 , 平衡器 ,  吊具  , 吊装带 , 坦克搬运车 , 搬运车 , 起重滑车 , 起重链条 , 起重磁铁 ,  卸扣  , 捆绑器 , 紧线器 , 钢丝绳 , 拉码 ,  钢丝绳电动葫芦  , 链条手拉葫芦 , 电控卷扬机 ",赵红亮,13624307025,,,130000,长春企业网,,,,,"法人名称：钢丝绳电动葫芦广佳有限公司主要经营产品：手拉葫芦 , 电动葫芦 , 卷扬机 , 千斤顶 , 平衡器 ,  吊具  , 吊装带 , 坦克搬运车 , 搬运车 , 起重滑车 , 起重链条 , 起重磁铁 ,  卸扣  , 捆绑器 , 紧线器 , 钢丝绳 , 拉码 ,  钢丝绳电动葫芦  , 链条手拉葫芦 , 电控卷扬机 经营状态：在业成立时间：1997年10月02日职员人数：20人注册资本：人民币50 万元 (万元)所属分类：千斤顶公司所属城市：长春企业网顺企编码：974668",,https://www.11467.com/changchun/co/96735.htm,
吉林省长春天诚电动吊篮有限公司,长春 长春市二道区公平路上东街区北区美一方9栋103门市,86-0431-86163288-7088 043186162152,"电动吊篮 , 手动吊篮 , 建筑吊篮 , 高空作业吊篮 , 钢丝绳 , 安全锁 , 吊装带 , 安全带 , 吊索具 , 起重吊钳 ,  吊钩  , 起重链条 ",赵阳,未提供,,,130000,长春企业网 二道区 ,,,,,"法人名称：吉林省长春天诚电动吊篮有限公司主要经营产品：电动吊篮 , 手动吊篮 , 建筑吊篮 , 高空作业吊篮 , 钢丝绳 , 安全锁 , 吊装带 , 安全带 , 吊索具 , 起重吊钳 ,  吊钩  , 起重链条 经营状态：在业成立时间：2000年02月16日职员人数：80人注册资本：人民币100 万元 (万元)所属分类：起重装卸设备公司所属城市：长春企业网 二道区 顺企编码：937147",,https://www.11467.com/changchun/co/97288.htm,
山东滨州恒迈尼龙化纤制品有限公司,滨州 山东省惠民县李庄镇工业园,86-05435832888,"安全网 ,  密目式安全立网  , 安全带 ,  丙纶高强丝。安全网.密目式安全立网  , 吊装带 , 火车网 ",邢瀚,15006999888,,,13626497888@163.com,2001年7月11日,,,,有限责任公司(自然人投资或控股),"法人名称：山东滨州恒迈尼龙化纤制品有限公司主要经营产品：安全网 ,  密目式安全立网  , 安全带 ,  丙纶高强丝。安全网.密目式安全立网  , 吊装带 , 火车网 经营范围：安全网、安全带、封车网、密目网、绳网、防尘网、施工线、棉线、丙纶线、化纤原料加工、销售；麻线、麻绳、纸管、纸箱、编织袋、塑料制品、塑料颗粒的生产、销售；备案范围内的进出口业务(依法须经批准的项目，经相关部门批准后方可开展经营活动)营业执照号码：371600228002240发证机关：滨州市工商行政管理局经营状态：在营经营模式：生产加工成立时间：2001年07月11日注册资本：1088万元  (万元)所属分类：安全、防护用品代理加盟公司所属城市：滨州企业网 惠民县 惠民县李庄镇类型：有限责任公司(自然人投资或控股)顺企编码：818863",,https://www.11467.com/binzhou/co/21094.htm,
保定路虎起重机械有限公司,保定 清苑县清苑南路 - ,086-0312-8017777 13833295678,"环链电动葫芦 , 手拉葫芦 , 搬运坦克车 , 手板葫芦 , 起重吊钳 , 吊装带 , 吊索具 ,  叉车  , 电子吊秤 ,  跑车  , 磁力吸盘 , 起重链条 ",张建,13833295678,,,71100,保定企业网 清苑县 清苑县清苑镇,,,,,"法人名称：保定路虎起重机械有限公司主要经营产品：环链电动葫芦 , 手拉葫芦 , 搬运坦克车 , 手板葫芦 , 起重吊钳 , 吊装带 , 吊索具 ,  叉车  , 电子吊秤 ,  跑车  , 磁力吸盘 , 起重链条 经营状态：在业成立时间：2010年04月01日职员人数：100人注册资本：人民币50 万元 (万元)所属分类：起重装卸设备公司所属城市：保定企业网 清苑县 清苑县清苑镇顺企编码：553178",,https://www.11467.com/baoding/co/80362.htm,
河北宇航起重设备有限公司,保定 河北清苑东吕工业园 - ,86-0312-8151883 13785270334,"手拉葫芦 , 手扳葫芦 , 电动葫芦 , 环链电动葫芦 , 起重链条 , 吊装带 , 吊钩吊环等 ",赵义,13633220025,,,"71100
",保定企业网 清苑县 清苑县清苑镇,,,,,"法人名称：河北宇航起重设备有限公司主要经营产品：手拉葫芦 , 手扳葫芦 , 电动葫芦 , 环链电动葫芦 , 起重链条 , 吊装带 , 吊钩吊环等 经营状态：在业成立时间：2001年06月08日职员人数：30人注册资本：人民币[RMB]150 万元 (万元)所属分类：建材生产加工机械公司所属城市：保定企业网 清苑县 清苑县清苑镇顺企编码：541659",,https://www.11467.com/baoding/co/80840.htm,
清苑县凯莱起重机械制造有限公司,保定 保定市清苑县东吕乡东吕村,86-0312-8152259 13403361777,"手拉葫芦 , 电动葫芦 , 电动吊篮 , 龙门吊 ,  天车  , 安全带 , 手扳葫芦 , 链条锁具 ,  行车  , 吊装带 , 吊线滑车 ",王海军,13731262256,,,71100,100人,,,,有限责任公司,"法人名称：清苑县凯莱起重机械制造有限公司主要经营产品：手拉葫芦 , 电动葫芦 , 电动吊篮 , 龙门吊 ,  天车  , 安全带 , 手扳葫芦 , 链条锁具 ,  行车  , 吊装带 , 吊线滑车 经营范围：起重滑车、吊索具、紧线器、手摇绞盘制造、销售；五金工具销售。（法律、法规禁止的，不得经营；应经审批的，未获批准前不得经营）营业执照号码：130622000006187发证机关：清苑区工商行政管理局经营状态：存续（在营、开业、在册）成立时间：2004年11月30日职员人数：100人注册资本：人民币102 万元 (万元)所属分类：起重装卸设备公司所属城市：保定企业网 清苑县 清苑县东吕乡类型：有限责任公司顺企编码：541365",,https://www.11467.com/baoding/co/81310.htm,
上海龙鸽起重机械有限公司,上海 上海市奉贤区庄行镇东风村1530号10幢208室,0312 - 18132566971,"手拉葫芦 , 起重链条 , 吊装带 , 环链电动葫芦 , 钢丝绳电动葫芦 , 微型电动葫芦 , 多功能提升机 , 卷扬机 , 钩子索具 , 永磁吸盘 , 地牛叉车 , 千斤顶 , 手拉跑车 , 钢板吊钳 , 电子吊秤 , 吊运机 , 手扳葫芦 , 防爆葫芦 , 搬运坦克车 , 绞盘 ",张姗,18031218862,,,200000,101人,,,,有限责任公司,"法人名称：上海龙鸽起重机械有限公司主要经营产品：手拉葫芦 , 起重链条 , 吊装带 , 环链电动葫芦 , 钢丝绳电动葫芦 , 微型电动葫芦 , 多功能提升机 , 卷扬机 , 钩子索具 , 永磁吸盘 , 地牛叉车 , 千斤顶 , 手拉跑车 , 钢板吊钳 , 电子吊秤 , 吊运机 , 手扳葫芦 , 防爆葫芦 , 搬运坦克车 , 绞盘 经营范围：起重机械及配件、五金交电、机电设备、电线电缆、金属材料、装潢材料、五金机械、管道配件批发、零售。【依法须经批准的项目，经相关部门批准后方可开展经营活动】营业执照号码：310120002410788发证机关：奉贤区市场监管局经营状态：存续（在营、开业、在册）成立时间：2014年07月02日职员人数：101人注册资本：10 (万元)所属分类：钢索油公司所属城市：上海企业网 奉贤区 奉贤区庄行镇类型：有限责任公司顺企编码：52423468",,https://www.11467.com/qiye/52423468.htm,
河北世霸起重机械制造有限公司, 中国河北保定清苑区东闾乡东闾村,0312 - 7950333,"手拉葫芦 , 手扳葫芦 , 手拉跑车 , 手动绞盘 , 电动葫芦 , 电动跑车 , 吊运机 , 多功能电动提升机 , 起重滑车 , 单轨跑车 , 千斤顶 , 吊装带 , 永磁吸盘 , 起重链条 , 起重吊索具 , 液压搬运车 , 堆高车 , 起重机械配件 , 微型电机 , 天车 ",王家宝,15231246688,,,,绞盘公司,,,,,"法人名称：河北世霸起重机械制造有限公司主要经营产品：手拉葫芦 , 手扳葫芦 , 手拉跑车 , 手动绞盘 , 电动葫芦 , 电动跑车 , 吊运机 , 多功能电动提升机 , 起重滑车 , 单轨跑车 , 千斤顶 , 吊装带 , 永磁吸盘 , 起重链条 , 起重吊索具 , 液压搬运车 , 堆高车 , 起重机械配件 , 微型电机 , 天车 经营范围：手拉葫芦、手扳葫芦、手拉跑车、手动绞盘、电动葫芦、电动跑车、吊运机、多功能电动提升机、起重滑车、单轨跑车、千斤顶、吊装带、永磁吸盘、起重链条、起重吊索具、液压搬运车、堆高车、起重机械配件、微型电机、天经营状态：在业成立时间：2016年05月09日职员人数：51人注册资本：300 (万元)所属分类：绞盘公司顺企编码：52293290",,https://www.11467.com/qiye/52293290.htm,
临沂市兰山区顺力五金织带厂, 中国山东临沂兰山区临西八路与开阳路交汇处,0539 - 2876012,"捆绑带 , 吊装带 , 汽车安全带 , 大棚带 , 捆绑器 , 两点式安全带 , 拉紧器 , 收紧器 , 手动拉紧器 , 拉紧器收紧器 , 安全带固定器 , 扎线带 , 紧绳器 , 汽车捆绑带 , 安全带 , 压膜带 , 大棚压膜带 , 多功能紧线器 , 绑带 , 扎带 ",杜宝江,18753968187,,,,52006928,,,,,"法人名称：临沂市兰山区顺力五金织带厂主要经营产品：捆绑带 , 吊装带 , 汽车安全带 , 大棚带 , 捆绑器 , 两点式安全带 , 拉紧器 , 收紧器 , 手动拉紧器 , 拉紧器收紧器 , 安全带固定器 , 扎线带 , 紧绳器 , 汽车捆绑带 , 安全带 , 压膜带 , 大棚压膜带 , 多功能紧线器 , 绑带 , 扎带 经营范围：五金工具生产批发（依法须经批准的项目，经相关部门批准后方可开展经营活动）经营状态：在业成立时间：2016年07月05日职员人数：11人所属分类：物流辅助器材公司顺企编码：52006928",,https://www.11467.com/qiye/52006928.htm,
临沂市兰山区翌承五金工具厂, 中国山东临沂兰山区宏大路与启阳路交汇处向北50米,0539 - 8094768,"钢丝绳 , 钢丝绳夹头 , 花兰螺丝 , 卸扣 , 吊环螺丝 , 起重滑车 , 环眼吊钩 , 铝套 , 不锈钢卡头 , 吊装带 ",张洪铭,13953928039,,,,52004205,,,,,"法人名称：临沂市兰山区翌承五金工具厂主要经营产品：钢丝绳 , 钢丝绳夹头 , 花兰螺丝 , 卸扣 , 吊环螺丝 , 起重滑车 , 环眼吊钩 , 铝套 , 不锈钢卡头 , 吊装带 经营范围：五金索具、滑车组装与销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）经营状态：在业成立时间：2016年05月04日职员人数：5人所属分类：金属丝绳及其制品的厂黄页顺企编码：52004205",,https://www.11467.com/qiye/52004205.htm,
深圳市宇华重型机械有限公司, 中国广东深圳宝安区松岗街道溪头第八工业区西二巷13号B栋501室,0755 - 81493086,"起重机 , 电动葫芦 , 电轨 , 年检 , 办证 , 钢材 , 液压升降平台 , 叉车 , 龙门吊 , 悬臂吊 , 电动葫芦 , 手扳葫芦 , 环链电动葫芦 , 门式起重机 , 桥式起重机 , 悬臂吊 , 吊带 , 吊装带 , 安全滑触线 , 吊具 ",朱新春,13823253665,,,,其他工程与建筑机械公司,,,,,"法人名称：深圳市宇华重型机械有限公司主要经营产品：起重机 , 电动葫芦 , 电轨 , 年检 , 办证 , 钢材 , 液压升降平台 , 叉车 , 龙门吊 , 悬臂吊 , 电动葫芦 , 手扳葫芦 , 环链电动葫芦 , 门式起重机 , 桥式起重机 , 悬臂吊 , 吊带 , 吊装带 , 安全滑触线 , 吊具 经营范围：单双梁起重机、龙门吊、手拉葫芦、电动葫芦、起重配件、起重吊具、重型机械、起重机钢材的销售、上门安装和上门维护；国内贸易，经营进出口业务。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除经营状态：在业成立时间：2016年07月08日职员人数：501人注册资本：50 (万元)所属分类：其他工程与建筑机械公司顺企编码：52001694",,https://www.11467.com/qiye/52001694.htm,
泰州市雄泰工索具有限公司,泰州 泰州市高港区口岸街道集成社区,0523 - 86931987,"合成纤维吊装带 , 迪尼玛吊装带 , 栓紧器 , 牵引带 , 尼龙绳 , 软质吊索 , 复合钢丝绳 , 压制钢丝绳 , 钢丝绳组合吊具 , 无接头钢丝绳 , 链条索具 , 钢板起重钳 , 冶金吊具 , 平衡吊梁 , 吊索配件 , 安全防护用品 , 三动工具 ",褚成军,15951160091,,,225300,51人,,,,有限责任公司(自然人独资),"法人名称：泰州市雄泰工索具有限公司主要经营产品：合成纤维吊装带 , 迪尼玛吊装带 , 栓紧器 , 牵引带 , 尼龙绳 , 软质吊索 , 复合钢丝绳 , 压制钢丝绳 , 钢丝绳组合吊具 , 无接头钢丝绳 , 链条索具 , 钢板起重钳 , 冶金吊具 , 平衡吊梁 , 吊索配件 , 安全防护用品 , 三动工具 经营范围：工索具、绳、网、带、吊具、软梯制造，销售；钢丝绳销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：91321203338816234E发证机关：泰州市高港工商行政管理局经营状态：在业成立时间：2015年04月22日职员人数：51人注册资本：260 (万元)所属分类：索具公司所属城市：泰州企业网 高港区 高港区口岸类型：有限责任公司(自然人独资)顺企编码：52000677",,https://www.11467.com/qiye/52000677.htm,
东莞市柠檬机械科技有限公司, 中国广东东莞长安镇新民社区祥兴街8号B栋1楼101,0769 - 82872789,"全自动丝印机 , 商标织带丝印机 , 胶片薄膜丝印机 , 弹性带丝印机 , 鞋材丝印机 , 全自动走台机 , 吊装带丝印机 , 安全带重磅带丝印机 , 全自动拉链丝印机 , 帽带丝印机 ",黄乐乐,13686603001,,,,100 (万元),,,,,"法人名称：东莞市柠檬机械科技有限公司主要经营产品：全自动丝印机 , 商标织带丝印机 , 胶片薄膜丝印机 , 弹性带丝印机 , 鞋材丝印机 , 全自动走台机 , 吊装带丝印机 , 安全带重磅带丝印机 , 全自动拉链丝印机 , 帽带丝印机 经营范围：研发、生产、销售：自动化机械设备、工业机器人、机电设备及配件、纺织设备、印刷设备、丝印器材耗材；自动化机械设备维修及安装服务；货物及技术进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动)经营状态：在业经营模式：生产厂家成立时间：2016年08月05日职员人数：11人注册资本：100 (万元)所属分类：丝印机公司顺企编码：51997448",,https://www.11467.com/qiye/51997448.htm,
泰州市诺德吊索具有限公司,泰州 泰州市高港区口岸街道江平东路536号,0523 - 86931508,"吊装带 , 钢丝绳 , 吊具 , 索具 , 链条 , 链条吊具 , 安全带 , 三动工具 , 电力工具 , 捆绑带 , 涤纶捆绑带 , 带勾捆绑带 , 双头吊装带 , 丙纶吊装带 , 涤纶吊装带 , 压制钢丝绳 , 插编钢丝绳 , 钢丝绳索具 , 钢丝绳吊具 , 链条索具 ",肖巍,17315668070,,,2448471276@qq.com,在业,,,,500万元 (万元),"法人名称：泰州市诺德吊索具有限公司主要经营产品：吊装带 , 钢丝绳 , 吊具 , 索具 , 链条 , 链条吊具 , 安全带 , 三动工具 , 电力工具 , 捆绑带 , 涤纶捆绑带 , 带勾捆绑带 , 双头吊装带 , 丙纶吊装带 , 涤纶吊装带 , 压制钢丝绳 , 插编钢丝绳 , 钢丝绳索具 , 钢丝绳吊具 , 链条索具 经营范围：吊索具、绳网带、五金工具、机械配件、电力工具制造，销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：91321203MA1MH7UT9P发证机关：泰州市高港工商行政管理局核准日期：2016-04-01经营期限：10年经营状态：在业经营模式：生产厂家成立时间：2016年04月01日职员人数：11人注册资本：500万元 (万元)所属分类：卸扣公司所属城市：泰州企业网 高港区 高港区口岸类型：有限责任公司(自然人独资)顺企编码：48125815",,https://www.11467.com/qiye/48125815.htm,
重庆禹鹰机械有限公司,重庆 重庆市九龙坡区科园一街25号附3号6-9号,13908346095,"手拉葫芦 , 吊装带 , 电动葫芦 , 起重链条 ",张俊强,13315292291,,,404100,200 (万元),,,,,"法人名称：重庆禹鹰机械有限公司主要经营产品：手拉葫芦 , 吊装带 , 电动葫芦 , 起重链条 经营范围：销售起重机械设备及配件、普通机械、通用机械、电气机械及器材、金属材料、建材（不含危险化学品）、仪器仪表、五金、交电、通信设备（不含卫星地面发射和接收设备）、机电设备。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）经营状态：在业经营模式：经销批发成立时间：2016年07月11日职员人数：301人注册资本：200 (万元)所属分类：机械设备公司所属城市：重庆企业网 九龙坡区 顺企编码：26507094",,https://www.11467.com/chongqing/co/339231.htm,
河北烨晟起重机械制造有限公司,河北省保定市清苑区东闾乡东闾村,13931822167,"手拉葫芦 , 手扳葫芦 , 手拉跑车 , 手动绞盘 , 电动葫芦 , 电动跑车 , 吊运机 , 多功能电动提升机 , 起重滑车 , 单轨跑车 , 千斤顶 , 吊装带 , 永磁吸盘 , 起重链条 , 起重吊索具 , 液压搬运车 , 堆高车 , 起重机械配件 , 微型电机 , 天车制造 , 销售 , 龙门起重机制造 , 维修 , 销售 , 电动绞盘 , 电子吊秤 , 电动叉车 , 升降平台 , 卷扬机 , 纸箱销售 , 办理货物进出口业务。（依法须经批准的项目 , 经相关部门批准后方可开展经营活动） ",蔡立新,13931822167,,,71000,起重机公司,,,,,"法人名称：河北烨晟起重机械制造有限公司主要经营产品：手拉葫芦 , 手扳葫芦 , 手拉跑车 , 手动绞盘 , 电动葫芦 , 电动跑车 , 吊运机 , 多功能电动提升机 , 起重滑车 , 单轨跑车 , 千斤顶 , 吊装带 , 永磁吸盘 , 起重链条 , 起重吊索具 , 液压搬运车 , 堆高车 , 起重机械配件 , 微型电机 , 天车制造 , 销售 , 龙门起重机制造 , 维修 , 销售 , 电动绞盘 , 电子吊秤 , 电动叉车 , 升降平台 , 卷扬机 , 纸箱销售 , 办理货物进出口业务。（依法须经批准的项目 , 经相关部门批准后方可开展经营活动） 经营范围：手拉葫芦、手扳葫芦、手拉跑车、手动绞盘、电动葫芦、电动跑车、吊运机、多功能电动提升机、起重滑车、单轨跑车、千斤顶、吊装带、永磁吸盘、起重链条、起重吊索具、液压搬运车、堆高车、起重机械配件、微型电机、天车制造、销售；龙门起重机制造、维修、销售；电动绞盘、电子吊秤、电动叉车、升降平台、卷扬机、纸箱销售；...营业执照号码：91130608MA07R3UG0F发证机关：清苑区工商行政管理局经营状态：存续（在营、开业、在册）成立时间：2016年05月25日所属分类：起重机公司所属城市：保定企业网 清苑县 清苑县清苑镇类型：有限责任公司(自然人独资)顺企编码：26091618",,https://www.11467.com/baoding/co/154309.htm,
保定市迈创起重机械制造有限公司,河北省保定市清苑区东闾乡东闾村,13833088021,"手拉葫芦 , 手扳葫芦 , 电动葫芦 , 起重滑车 , 卷扬机 , 起重链条 , 吊索具 , 提升机 , 单轨小车 , 吊运机 , 千斤顶 , 搬运车 , 升降机 , 叉车 , 吊装带 , 吊钳 , 吸盘 , 五金工具 , 电机 , 轴承 , 物料搬运设备零部件 , 起重机械配件制造 , 销售 , 安装 , 维修 , 电子吊秤销售 , 货物进出口业务。（依法须经批准的项目 , 经相关部门批准后方可开展经营活动） ",杨立艳,13833088021,,,71000,200.0000 (万元),,,,25669875,"法人名称：保定市迈创起重机械制造有限公司主要经营产品：手拉葫芦 , 手扳葫芦 , 电动葫芦 , 起重滑车 , 卷扬机 , 起重链条 , 吊索具 , 提升机 , 单轨小车 , 吊运机 , 千斤顶 , 搬运车 , 升降机 , 叉车 , 吊装带 , 吊钳 , 吸盘 , 五金工具 , 电机 , 轴承 , 物料搬运设备零部件 , 起重机械配件制造 , 销售 , 安装 , 维修 , 电子吊秤销售 , 货物进出口业务。（依法须经批准的项目 , 经相关部门批准后方可开展经营活动） 经营范围：手拉葫芦、手扳葫芦、电动葫芦、起重滑车、卷扬机、起重链条、吊索具、提升机、单轨小车、吊运机、千斤顶、搬运车、升降机、叉车、吊装带、吊钳、吸盘、五金工具、电机、轴承、物料搬运设备零部件、起重机械配件制造、销售、安装、维修；电子吊秤销售；货物进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营...营业执照号码：91130608MA07P2KE7Y发证机关：清苑区工商行政管理局经营状态：存续（在营、开业、在册）成立时间：2016年03月23日注册资本：200.0000 (万元)所属分类：起重机公司所属城市：保定企业网 清苑县 清苑县清苑镇类型：有限责任公司(自然人独资)顺企编码：25669875",,https://www.11467.com/baoding/co/144905.htm,
保定市恒丰起重机械制造有限公司,河北省保定市清苑区东闾乡东闾村,15512252236,"手拉葫芦 , 手扳葫芦 , 电动葫芦 , 起重滑车 , 卷扬机 , 起重链条 , 吊索具 , 提升机 , 单轨小车 , 吊运机 , 千斤顶 , 搬运车 , 升降机 , 叉车 , 吊装带 , 吊钳 , 吸盘 , 五金工具 , 电机 , 轴承 , 物料搬运设备零部件 , 起重机械配件制造 , 销售 , 安装 , 维修 , 电子吊秤销售 , 货物进出口业务。（依法须经批准的项目 , 经相关部门批准后方可开展经营活动） ",崔娇娇,15630228625,,,121479518@qq.com,80.0000 (万元),,,,25668354,"法人名称：保定市恒丰起重机械制造有限公司主要经营产品：手拉葫芦 , 手扳葫芦 , 电动葫芦 , 起重滑车 , 卷扬机 , 起重链条 , 吊索具 , 提升机 , 单轨小车 , 吊运机 , 千斤顶 , 搬运车 , 升降机 , 叉车 , 吊装带 , 吊钳 , 吸盘 , 五金工具 , 电机 , 轴承 , 物料搬运设备零部件 , 起重机械配件制造 , 销售 , 安装 , 维修 , 电子吊秤销售 , 货物进出口业务。（依法须经批准的项目 , 经相关部门批准后方可开展经营活动） 经营范围：手拉葫芦、手扳葫芦、电动葫芦、起重滑车、卷扬机、起重链条、吊索具、提升机、单轨小车、吊运机、千斤顶、搬运车、升降机、叉车、吊装带、吊钳、吸盘、五金工具、电机、轴承、物料搬运设备零部件、起重机械配件制造、销售、安装、维修；电子吊秤销售；货物进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营...营业执照号码：91130608MA07P2HM3E发证机关：清苑区工商行政管理局经营状态：存续（在营、开业、在册）成立时间：2016年03月23日注册资本：80.0000 (万元)所属分类：起重机公司所属城市：保定企业网 清苑县 清苑县清苑镇类型：有限责任公司(自然人独资)顺企编码：25668354",,https://www.11467.com/baoding/co/144701.htm,
上海霞杰纺织品有限公司,上海 上海市青浦区南巷路1号1层D区163室,86-02159751236,"织带 , 吊装带 , 丙纶带 , 涤纶带 , 警示带 , 隔离带 ",程华,13816240654,,,200000,2014年4月15日,,,,上海企业网 青浦区 ,"法人名称：上海霞杰纺织品有限公司主要经营产品：织带 , 吊装带 , 丙纶带 , 涤纶带 , 警示带 , 隔离带 经营范围：销售纺织品、服装及辅料、鞋帽、箱包、服装，文体用品、工艺礼品、日用百货，包装材料，五金工具、机械设备，劳防用品（除特种用品）、塑料制品、玻璃制品、化纤制品、建材、电脑耗材（除计算机信息系统安全专用产品），货物运输代理，水电装潢工程。【依法须经批准的项目，经相关部门批准后方可开展经营活动】营业执照号码：310118002968842发证机关：青浦区市场监督管理局经营状态：存续（在营、开业、在册）经营模式：生产加工成立时间：2014年04月15日职员人数：11人注册资本：人民币50万元 (万元)所属分类：二手纺织加工设备公司所属城市：上海企业网 青浦区 类型：有限责任公司（自然人投资或控股）顺企编码：21306293",,https://www.11467.com/shanghai/co/1139402.htm,
